WN;PS;PA;PC;PU;PET;PP;SAN;PVC;PE;POM;ABS
341.31095;0.01842;0.01393;0.0269;0.06123;0.01979;0.00341;0.03358;0.09221;0.00522;0.0053;0.01738
344.12912;0.01827;0.01432;0.02549;0.05966;0.01882;0.00268;0.03298;0.09641;0.00529;0.00467;0.01514
346.9464;0.01817;0.01431;0.02366;0.05358;0.01849;0.002;0.03235;0.10011;0.00529;0.00451;0.01428
349.76278;0.01819;0.01406;0.02295;0.04856;0.01819;0.00216;0.03188;0.10462;0.00541;0.00469;0.01331
352.57826;0.01834;0.01427;0.02263;0.04274;0.01798;0.00245;0.0315;0.10961;0.00557;0.00449;0.01273
355.39284;0.01885;0.0147;0.02224;0.03799;0.01783;0.00242;0.03127;0.11478;0.00572;0.00365;0.01203
358.20651;0.01941;0.01455;0.02247;0.03163;0.0182;0.00349;0.03141;0.12458;0.00565;0.0042;0.01225
361.01929;0.01988;0.01348;0.02275;0.02934;0.01817;0.00437;0.03175;0.13435;0.00558;0.00423;0.01283
363.83118;0.02068;0.01336;0.02398;0.02834;0.01835;0.00534;0.03207;0.14529;0.00572;0.00499;0.01428
366.64216;0.0219;0.01331;0.0257;0.02884;0.01808;0.00708;0.03246;0.15186;0.00567;0.00476;0.0154
369.45224;0.02285;0.01201;0.02795;0.02981;0.01746;0.00825;0.0329;0.15553;0.00556;0.00493;0.01673
372.26143;0.02438;0.01111;0.03049;0.0317;0.01601;0.00996;0.03325;0.15229;0.00583;0.00561;0.01608
375.06972;0.02579;0.01085;0.03286;0.03407;0.01509;0.01403;0.03371;0.14434;0.00611;0.00594;0.01717
377.87711;0.02747;0.01047;0.03575;0.03658;0.01437;0.02586;0.03427;0.13286;0.00634;0.00587;0.01707
380.68361;0.0288;0.01042;0.03953;0.03774;0.01414;0.0506;0.03498;0.1174;0.00668;0.00569;0.01636
383.48921;0.03048;0.01019;0.04337;0.03818;0.01424;0.0816;0.03622;0.10459;0.00674;0.00527;0.01466
386.29391;0.03189;0.00945;0.04831;0.03711;0.01502;0.10827;0.03819;0.09534;0.00692;0.00569;0.01631
389.09772;0.03364;0.00868;0.05315;0.03849;0.01675;0.12708;0.04059;0.08843;0.00707;0.0056;0.01728
391.90063;0.03586;0.00932;0.05808;0.03772;0.0189;0.13439;0.04305;0.08212;0.00729;0.00513;0.01878
394.70265;0.03787;0.00964;0.06204;0.03609;0.0202;0.12782;0.04551;0.07708;0.00736;0.00408;0.0204
397.50377;0.03871;0.00962;0.06456;0.03542;0.02127;0.10891;0.04743;0.07127;0.00754;0.00483;0.02286
400.304;0.03886;0.00951;0.06524;0.03473;0.02203;0.08226;0.04862;0.06468;0.00767;0.00544;0.02536
403.10333;0.0379;0.0097;0.0643;0.03459;0.02157;0.05408;0.0489;0.06161;0.0078;0.00578;0.0271
405.90177;0.03603;0.01063;0.06152;0.03288;0.02038;0.03349;0.04831;0.05869;0.00795;0.00605;0.02806
408.69932;0.03356;0.01084;0.0585;0.03125;0.01871;0.02431;0.04704;0.05477;0.00801;0.00636;0.02892
411.49597;0.03122;0.01097;0.0544;0.03058;0.01773;0.02059;0.04548;0.05356;0.00784;0.00662;0.02887
414.29173;0.02897;0.01174;0.0502;0.02836;0.01699;0.0168;0.04382;0.05331;0.00804;0.00658;0.02934
417.0866;0.02722;0.0125;0.04557;0.02578;0.01677;0.01592;0.04216;0.05346;0.00794;0.00724;0.02831
419.88057;0.02609;0.01362;0.04042;0.02171;0.01676;0.01447;0.04047;0.0522;0.00797;0.00674;0.02733
422.67366;0.02533;0.0143;0.03453;0.01831;0.01661;0.01275;0.03899;0.04918;0.00795;0.00668;0.02559
425.46585;0.02437;0.01485;0.02925;0.01624;0.01678;0.01325;0.03742;0.04706;0.00788;0.00726;0.02396
428.25715;0.02359;0.0151;0.02538;0.01603;0.01714;0.01482;0.03593;0.04826;0.00792;0.00845;0.02319
431.04756;0.02285;0.01565;0.02248;0.01593;0.01686;0.01725;0.03452;0.05033;0.00811;0.00894;0.02123
433.83708;0.02202;0.0164;0.02045;0.01636;0.01641;0.02177;0.0332;0.05047;0.00842;0.00982;0.02019
436.62571;0.02158;0.01603;0.01982;0.01653;0.01659;0.0281;0.03199;0.0502;0.00868;0.00994;0.01957
439.41344;0.02125;0.01561;0.01948;0.01744;0.01676;0.03811;0.03086;0.05089;0.00912;0.0099;0.01882
442.20029;0.02112;0.01485;0.01932;0.01835;0.01657;0.0467;0.02995;0.05054;0.00948;0.00913;0.01841
444.98625;0.02015;0.0142;0.01887;0.02043;0.01658;0.05336;0.02923;0.04712;0.00962;0.00898;0.01769
447.77132;0.01952;0.01334;0.01813;0.02125;0.01646;0.05571;0.02868;0.04462;0.00987;0.00837;0.01745
